CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,DETALHE,POSTO,UNIDADE,ACESSANTE,Total TE,Total TUSD,TUSD_FioB
ESS,A4,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,38.19,23.6919089463024
ESS,A4,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,14.12,0.0
ESS,A4,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,121.74,0.0
ESS,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,38.19,23.6919089463024
ESS,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,121.74,0.0
ESS,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Cernhe,0.0,21.02,4.97169321590615
ESS,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,CERRP,0.0,21.02,4.97169321590615
ESS,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Cernhe,0.0,10.73,0.0
ESS,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,CERRP,0.0,10.73,0.0
ESS,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Cernhe,0.0,13.02,1.91080082554595
ESS,A4,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,CERRP,0.0,13.02,1.91080082554595
ESS,A4,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,5.33,5.42578520385614
ESS,A4,Verde,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,942.52,569.79042719192
ESS,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A4,Verde,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,14.12,0.0
ESS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,1050.14,569.79042719192
ESS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,19.43,9.1055728886449
ESS,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,121.74,0.0
ESS,B,Geração,Não se aplica,Não se aplica,TIPO 01,Não se aplica,kW,Não se aplica,0.0,2.94,3.01649213346423
ESS,B,Geração,Não se aplica,Não se aplica,TIPO 02,Não se aplica,kW,Não se aplica,0.0,10.49,10.8864660571858
ESS,B1,Branca,Residencial,Residencial,Não se aplica,Ponta,MWh,Não se aplica,414.64,760.43,436.448166171296
ESS,B1,Branca,Residencial,Residencial,Não se aplica,Intermediário,MWh,Não se aplica,255.26,520.09,261.86885428052
ESS,B1,Branca,Residencial,Residencial,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,279.75,87.2896559453881
ESS,B1,Convencional,Residencial,Baixa Renda,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,228.51,140.789694392146
ESS,B1,Convencional,Residencial,Residencial,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,353.4,140.789694392146
ESS,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,228.51,140.789694392146
ESS,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,353.4,140.789694392146
ESS,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Ponta,MWh,Não se aplica,389.76,723.91,416.878338466297
ESS,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Intermediário,MWh,Não se aplica,239.95,494.35,250.127003079778
ESS,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Fora ponta,MWh,Não se aplica,239.95,264.79,83.3756676932593
ESS,B2,Branca,Rural,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,389.76,723.91,416.878338466297
ESS,B2,Branca,Rural,Não se aplica,Não se aplica,Intermediário,MWh,Não se aplica,239.95,494.35,250.127003079778
ESS,B2,Branca,Rural,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,239.95,264.79,83.3756676932593
ESS,B2,Branca,Rural,Serviço público de irrigação rural,Não se aplica,Ponta,MWh,Não se aplica,381.47,708.51,408.008586584035
ESS,B2,Branca,Rural,Serviço público de irrigação rural,Não se aplica,Intermediário,MWh,Não se aplica,234.84,483.83,244.805151950421
ESS,B2,Branca,Rural,Serviço público de irrigação rural,Não se aplica,Fora ponta,MWh,Não se aplica,234.84,259.16,81.601717316807
ESS,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,MWh,Não se aplica,252.43,332.2,132.342312728617
ESS,B2,Convencional,Rural,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,252.43,332.2,132.342312728617
ESS,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,Não se aplica,MWh,Não se aplica,247.06,325.13,129.526518840774
ESS,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,MWh,Não se aplica,252.43,332.2,132.342312728617
ESS,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,252.43,332.2,132.342312728617
ESS,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,Não se aplica,MWh,Não se aplica,247.06,325.13,129.526518840774
ESS,B3,Branca,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,414.64,789.5,457.566563552296
ESS,B3,Branca,Não se aplica,Não se aplica,Não se aplica,Intermediário,MWh,Não se aplica,255.26,537.53,274.539960842506
ESS,B3,Branca,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,255.26,285.57,91.5133581327169
ESS,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,353.4,140.789694392146
ESS,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,268.55,353.4,140.789694392146
ESS,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,Não se aplica,MWh,Não se aplica,147.7,194.37,77.4343319156802
ESS,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,Não se aplica,MWh,Não se aplica,161.13,212.04,84.4738166352875
ETO,A2,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,12.42,0.0
ETO,A2,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,23.04,15.191843563784
ETO,A2,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,12.42,0.0
ETO,A2,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,9.66,1.51914774158588
ETO,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,423.28,54.16,0.0
ETO,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,23.04,15.191843563784
ETO,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,258.24,54.16,0.0
ETO,A2,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,9.66,1.51914774158588
ETO,A2,Distribuição,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,ENEL GO,0.0,25.06,15.191843563784
ETO,A2,Distribuição,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,ENEL GO,0.0,10.61,0.0
ETO,A2,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,ENEL GO,0.0,10.44,1.51914774158588
ETO,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,PCH AGROTRAFO,0.0,5.23,4.3574
ETO,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,PCH AGUA LIMPA,0.0,5.25,4.375
ETO,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,PCH AREIA,0.0,5.26,4.38
ETO,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UFV SOL MAIOR II,0.0,8.82,7.0866
ETO,A2,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,UTE PEDRO AFONSO,0.0,7.07,6.2583
ETO,A3,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,186.56,0.0
ETO,A3,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,35.96,27.836103093727
ETO,A3,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,186.56,0.0
ETO,A3,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,13.83,6.75035196840432
ETO,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,423.28,228.3,0.0
ETO,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,35.96,27.836103093727
ETO,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,258.24,228.3,0.0
ETO,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,13.83,6.75035196840432
ETO,A3,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,17.92,17.3692536292654
ETO,A3a,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,29.59,0.0
ETO,A3a,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,75.01,70.8542613967048
ETO,A3a,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,29.59,0.0
ETO,A3a,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,38.63,31.7757815391152
ETO,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,423.28,80.32,0.0
ETO,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,75.01,70.8542613967048
ETO,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,258.24,80.32,0.0
ETO,A3a,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,38.63,31.7757815391152
ETO,A3a,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Não se aplica,271.99,80.32,0.0
ETO,A3a,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,92.64,82.7909278563
ETO,A3a,Distribuição,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Coelba,0.0,32.88,21.8801456638006
ETO,A3a,Distribuição,Não se aplica,Não se aplica,Não se aplica,Não se aplica,MWh,Coelba,0.0,20.69,0.0
ETO,A3a,Distribuição,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Coelba,0.0,20.13,9.81252029629804
ETO,A3a,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,22.86,24.6642124375867
ETO,A3a,Verde,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,1850.53,1704.04707363392
ETO,A3a,Verde,Não se aplica,Não se aplica,APE,Não se aplica,kW,Não se aplica,0.0,38.63,31.7757815391152
ETO,A3a,Verde,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,29.59,0.0
ETO,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,423.28,1901.27,1704.04707363392
ETO,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,38.63,31.7757815391152
ETO,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,258.24,80.32,0.0
ETO,A4,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,29.59,0.0
