CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,POSTO,UNIDADE,Total TUSD,Total TE
CEA,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,21.19,0.0
CEA,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,181.48,215.6
CEA,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,10.33,0.0
CEA,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,23.4,0.0
CEA,B1,Branca,Residencial,Residencial,Ponta,MWh,1169.55,322.12
CEA,B1,Branca,Residencial,Residencial,Intermediário,MWh,781.08,215.6
CEA,B1,Branca,Residencial,Residencial,Fora ponta,MWh,392.6,215.6
CEA,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,397.43,224.48
CEA,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,497.19,224.48
CEA,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,397.43,224.48
CEA,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,497.19,224.48
CEA,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,1099.38,302.8
CEA,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,734.21,202.67
CEA,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,369.05,202.67
CEA,B2,Branca,Rural,Não se aplica,Ponta,MWh,1099.38,302.8
CEA,B2,Branca,Rural,Não se aplica,Intermediário,MWh,734.21,202.67
CEA,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,369.05,202.67
CEA,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,1075.99,296.35
CEA,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,718.59,198.35
CEA,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,361.19,198.35
CEA,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,467.36,211.01
CEA,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,467.36,211.01
CEA,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,457.42,206.52
CEA,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,467.36,211.01
CEA,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,467.36,211.01
CEA,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,457.42,206.52
CEA,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,1169.55,322.12
CEA,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,781.08,215.6
CEA,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,392.6,215.6
CEA,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,497.19,224.48
CEA,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,497.19,224.48
CEA,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,273.46,123.46
CEA,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,298.32,134.69
CEB,A2,Azul,Não se aplica,Não se aplica,Ponta,MWh,15.77,0.0
CEB,A2,Azul,Não se aplica,Não se aplica,Ponta,kW,12.9,0.0
CEB,A2,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,15.77,0.0
CEB,A2,Azul,Não se aplica,Não se aplica,Fora ponta,kW,8.11,0.0
CEB,A2,Azul,Não se aplica,Não se aplica,Ponta,MWh,105.14,543.08
CEB,A2,Azul,Não se aplica,Não se aplica,Ponta,kW,12.9,0.0
CEB,A2,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,105.14,335.75
CEB,A2,Azul,Não se aplica,Não se aplica,Fora ponta,kW,8.11,0.0
CEB,A2,Distribuição,Não se aplica,Não se aplica,Ponta,kW,13.48,0.0
CEB,A2,Distribuição,Não se aplica,Não se aplica,Não se aplica,MWh,7.88,0.0
CEB,A2,Distribuição,Não se aplica,Não se aplica,Fora ponta,kW,8.47,0.0
CEB,A2,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.23,0.0
CEB,A2,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.29,0.0
CEB,A2,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.4,0.0
CEB,A3a,Azul,Não se aplica,Não se aplica,Ponta,MWh,30.28,0.0
CEB,A3a,Azul,Não se aplica,Não se aplica,Ponta,kW,25.69,0.0
CEB,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,30.28,0.0
CEB,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,kW,10.97,0.0
CEB,A3a,Azul,Não se aplica,Não se aplica,Ponta,MWh,144.91,543.08
CEB,A3a,Azul,Não se aplica,Não se aplica,Ponta,kW,25.69,0.0
CEB,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,144.91,335.75
CEB,A3a,Azul,Não se aplica,Não se aplica,Fora ponta,kW,10.97,0.0
CEB,A3a,Geração,Não se aplica,Não se aplica,Não se aplica,kW,3.07,0.0
CEB,A3a,Verde,Não se aplica,Não se aplica,Ponta,MWh,654.67,0.0
CEB,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,kW,10.97,0.0
CEB,A3a,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,30.28,0.0
CEB,A3a,Verde,Não se aplica,Não se aplica,Ponta,MWh,769.31,543.08
CEB,A3a,Verde,Não se aplica,Não se aplica,Não se aplica,kW,10.97,0.0
CEB,A3a,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,144.91,335.75
CEB,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,30.28,0.0
CEB,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,25.69,0.0
CEB,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,30.28,0.0
CEB,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,10.97,0.0
